Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-31,265.0899963378906,265.760009765625,254.25999450683594,260.4200134277344,2705900,0,0
2022-06-01,252.5,253.58999633789062,232.75,240.1199951171875,3401900,0,0
2022-06-02,233.58999633789062,251.47999572753906,233.0,251.2899932861328,1657700,0,0
2022-06-03,246.07000732421875,251.8300018310547,245.27999877929688,250.75999450683594,927500,0,0
2022-06-06,254.22999572753906,259.760009765625,253.0,257.7900085449219,1281000,0,0
2022-06-07,254.41000366210938,258.82000732421875,252.5,257.8900146484375,986000,0,0
2022-06-08,256.82000732421875,259.8699951171875,251.3000030517578,253.6199951171875,864200,0,0
2022-06-09,251.17999267578125,252.14999389648438,241.47999572753906,241.77999877929688,1211000,0,0
2022-06-10,238.88999938964844,241.14999389648438,234.89999389648438,236.8699951171875,1096100,0,0
2022-06-13,228.22000122070312,229.08999633789062,219.10000610351562,222.22000122070312,1652500,0,0
2022-06-14,223.4600067138672,228.16000366210938,221.02999877929688,223.3300018310547,1033100,0,0
2022-06-15,225.8000030517578,225.97999572753906,210.8800048828125,215.0800018310547,1951800,0,0
2022-06-16,209.1999969482422,209.57000732421875,198.6699981689453,202.1699981689453,2158500,0,0
2022-06-17,203.10000610351562,213.5399932861328,200.35000610351562,212.0399932861328,2401400,0,0
2022-06-21,217.14999389648438,218.9600067138672,213.3800048828125,216.3300018310547,1347800,0,0
2022-06-22,209.4499969482422,220.6999969482422,208.3699951171875,216.24000549316406,1243200,0,0
2022-06-23,217.02999877929688,219.60000610351562,209.30999755859375,213.6199951171875,1163100,0,0
2022-06-24,216.75,226.58999633789062,214.41000366210938,224.7899932861328,2392000,0,0
2022-06-27,221.63999938964844,228.58999633789062,221.00999450683594,226.6199951171875,1238400,0,0
2022-06-28,226.0,232.77999877929688,222.22000122070312,223.19000244140625,1586100,0,0
2022-06-29,222.16000366210938,223.1300048828125,208.63999938964844,211.88999938964844,1405600,0,0
2022-06-30,207.9600067138672,211.9499969482422,203.86000061035156,208.97999572753906,1250700,0,0
2022-07-01,205.67999267578125,208.77999877929688,200.4499969482422,205.14999389648438,1003000,0,0
2022-07-05,201.22000122070312,201.22000122070312,195.0800018310547,200.42999267578125,1203300,0,0
2022-07-06,200.13999938964844,202.16000366210938,193.6999969482422,198.3000030517578,1486500,0,0
2022-07-07,203.67999267578125,206.50999450683594,202.33999633789062,203.0,1594100,0,0
2022-07-08,203.5500030517578,208.5500030517578,200.27999877929688,205.92999267578125,907900,0,0
2022-07-11,201.67999267578125,202.25999450683594,197.19000244140625,199.82000732421875,897700,0,0
2022-07-12,197.74000549316406,199.58999633789062,193.16000366210938,195.82000732421875,938500,0,0
2022-07-13,191.60000610351562,198.11000061035156,189.25,196.0,881900,0,0
2022-07-14,192.6699981689453,196.75999450683594,190.17999267578125,196.66000366210938,992300,0,0
2022-07-15,200.35000610351562,201.50999450683594,195.3300018310547,200.6999969482422,912500,0,0
2022-07-18,206.25,208.2100067138672,202.5500030517578,203.8800048828125,940300,0,0
2022-07-19,207.86000061035156,212.30999755859375,207.00999450683594,211.52000427246094,780900,0,0
2022-07-20,213.77999877929688,220.52000427246094,210.6300048828125,219.50999450683594,933400,0,0
2022-07-21,219.5,226.07000732421875,219.25,225.60000610351562,865200,0,0
2022-07-22,228.0,228.27000427246094,220.24000549316406,221.4600067138672,707700,0,0
2022-07-25,221.5800018310547,227.7899932861328,217.16000366210938,227.57000732421875,720600,0,0
2022-07-26,228.27000427246094,229.1199951171875,224.44000244140625,225.10000610351562,881500,0,0
2022-07-27,228.33999633789062,235.6699981689453,225.0399932861328,234.2899932861328,786900,0,0
2022-07-28,237.08999633789062,239.05999755859375,232.58999633789062,236.32000732421875,1084000,0,0
2022-07-29,238.5,245.7100067138672,237.0,244.30999755859375,1506600,0,0
2022-08-01,242.5,243.9499969482422,237.47000122070312,239.9600067138672,957300,0,0
2022-08-02,239.0,246.6199951171875,238.63999938964844,243.88999938964844,1025400,0,0
2022-08-03,246.0,246.0,234.1699981689453,239.5399932861328,1407700,0,0
2022-08-04,246.1999969482422,250.14999389648438,230.02000427246094,234.88999938964844,2192000,0,0
2022-08-05,232.22999572753906,243.8000030517578,231.77000427246094,237.99000549316406,1428000,0,0
