Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-31,64.23999786376953,64.23999786376953,62.630001068115234,63.56999969482422,7561200,0,0
2022-06-01,64.36000061035156,64.43000030517578,62.2599983215332,62.5,4158800,0,0
2022-06-02,62.939998626708984,63.88999938964844,62.68000030517578,63.77000045776367,3436900,0,0
2022-06-03,63.599998474121094,63.869998931884766,61.90999984741211,62.029998779296875,4894200,0,0
2022-06-06,62.41999816894531,62.540000915527344,61.380001068115234,61.72999954223633,3905100,0,0
2022-06-07,59.90999984741211,61.279998779296875,59.27000045776367,61.04999923706055,6706100,0,0
2022-06-08,61.09000015258789,62.380001068115234,60.52000045776367,61.43000030517578,4250000,0,0
2022-06-09,61.16999816894531,61.65999984741211,60.650001525878906,60.650001525878906,3852300,0,0
2022-06-10,59.38999938964844,60.29999923706055,58.7599983215332,58.970001220703125,4862700,0,0
2022-06-13,57.290000915527344,58.08000183105469,57.029998779296875,57.33000183105469,7137400,0,0
2022-06-14,57.369998931884766,58.31999969482422,57.16999816894531,57.33000183105469,5863800,0,0
2022-06-15,57.54999923706055,58.189998626708984,56.84000015258789,57.630001068115234,7151900,0,0
2022-06-16,56.529998779296875,56.97999954223633,55.959999084472656,56.7400016784668,9118900,0,0
2022-06-17,56.459999084472656,57.36000061035156,56.02000045776367,56.619998931884766,12330100,0,0
2022-06-21,57.77000045776367,58.279998779296875,57.029998779296875,57.4900016784668,6140000,0,0
2022-06-22,56.90999984741211,57.7400016784668,56.72999954223633,57.06999969482422,6373500,0,0
2022-06-23,57.380001068115234,57.779998779296875,56.349998474121094,57.29999923706055,4435500,0,0
2022-06-24,57.81999969482422,60.310001373291016,57.58000183105469,60.2400016784668,7373800,0,0
2022-06-27,60.7400016784668,60.900001525878906,59.52000045776367,59.810001373291016,5093800,0,0
2022-06-28,60.130001068115234,60.59000015258789,57.439998626708984,57.47999954223633,5850400,0,0
2022-06-29,57.33000183105469,57.529998779296875,56.7400016784668,57.09000015258789,3741100,0,0
2022-06-30,56.06999969482422,56.66999816894531,55.54999923706055,55.849998474121094,5708300,0,0
2022-07-01,55.599998474121094,56.119998931884766,54.54999923706055,56.040000915527344,5391800,0,0
2022-07-05,55.439998626708984,58.310001373291016,55.33000183105469,57.58000183105469,8365000,0,0
2022-07-06,57.86000061035156,58.66999816894531,57.06999969482422,57.970001220703125,5698600,0,0
2022-07-07,58.189998626708984,59.959999084472656,58.04999923706055,59.4900016784668,6823900,0,0
2022-07-08,59.380001068115234,59.779998779296875,58.880001068115234,58.939998626708984,5960500,0,0
2022-07-11,58.65999984741211,59.06999969482422,58.130001068115234,58.400001525878906,4086300,0,0
2022-07-12,58.31999969482422,59.59000015258789,58.27000045776367,58.97999954223633,5367300,0,0
2022-07-13,58.029998779296875,59.439998626708984,57.7599983215332,59.08000183105469,5630600,0,0
2022-07-14,58.029998779296875,58.9900016784668,57.9900016784668,58.75,4195900,0,0
2022-07-15,59.560001373291016,60.58000183105469,59.38999938964844,60.560001373291016,7248800,0,0
2022-07-18,61.0099983215332,61.7400016784668,60.45000076293945,60.4900016784668,7520700,0,0
2022-07-19,61.29999923706055,62.7599983215332,60.9900016784668,62.650001525878906,5848000,0,0
2022-07-20,62.540000915527344,63.27000045776367,62.33000183105469,63.040000915527344,4128900,0,0
2022-07-21,62.95000076293945,63.790000915527344,62.689998626708984,63.7400016784668,2966200,0,0
2022-07-22,64.0,64.66000366210938,63.189998626708984,63.7599983215332,5040100,0,0
2022-07-25,63.599998474121094,63.7599983215332,62.7400016784668,63.290000915527344,5311500,0,0
2022-07-26,60.970001220703125,61.29999923706055,60.36000061035156,60.65999984741211,7473500,0,0
2022-07-27,60.310001373291016,61.29999923706055,59.810001373291016,60.79999923706055,5908600,0,0
2022-07-28,61.02000045776367,61.56999969482422,60.45000076293945,61.189998626708984,5588900,0,0
2022-07-29,61.34000015258789,61.7599983215332,60.09000015258789,61.15999984741211,6669200,0,0
2022-08-01,60.83000183105469,62.84000015258789,60.75,62.650001525878906,6196900,0,0
2022-08-02,62.310001373291016,62.4900016784668,61.08000183105469,61.63999938964844,5947300,0,0
2022-08-03,62.2400016784668,63.56999969482422,61.91999816894531,63.220001220703125,3711800,0,0
2022-08-04,63.709999084472656,63.95000076293945,63.0099983215332,63.279998779296875,3445700,0,0
2022-08-05,62.4900016784668,63.099998474121094,62.22999954223633,62.81999969482422,2640400,0,0
2022-08-08,63.400001525878906,64.2699966430664,63.369998931884766,63.68000030517578,4694100,0,0
2022-08-09,63.5099983215332,63.560001373291016,62.22999954223633,62.70000076293945,5572400,0,0
2022-08-10,63.65999984741211,64.25,62.900001525878906,63.029998779296875,5284900,0,0
2022-08-11,63.91999816894531,65.27999877929688,63.77000045776367,64.41000366210938,4339900,0,0
2022-08-12,64.47000122070312,65.5,63.9900016784668,65.47000122070312,5058400,0,0
2022-08-15,65.25,66.38999938964844,65.08000183105469,65.37000274658203,5306500,0,0
2022-08-16,65.2300033569336,67.77999877929688,65.2300033569336,66.6500015258789,7562200,0,0
2022-08-17,65.97000122070312,69.7699966430664,65.47000122070312,68.54000091552734,12745900,0,0
2022-08-18,67.77999877929688,68.30000305175781,66.94999694824219,68.01000213623047,6770700,0,0
2022-08-19,67.62000274658203,67.83000183105469,66.2300033569336,66.4000015258789,6078500,0,0
2022-08-22,66.0,66.0,63.79999923706055,64.38999938964844,4734900,0,0
2022-08-23,64.30999755859375,64.69000244140625,63.689998626708984,63.88999938964844,4163700,0,0
2022-08-24,63.63999938964844,64.94999694824219,63.2599983215332,64.37000274658203,5563000,0,0
2022-08-25,63.79999923706055,65.4800033569336,63.470001220703125,65.08999633789062,6919000,0,0
2022-08-26,65.27999877929688,65.73999786376953,62.880001068115234,62.88999938964844,4409900,0,0
2022-08-29,62.54999923706055,63.72999954223633,62.45000076293945,63.119998931884766,4351400,0,0
2022-08-30,63.4900016784668,63.709999084472656,62.0099983215332,62.560001373291016,4707400,0,0
2022-08-31,62.130001068115234,62.83000183105469,61.86000061035156,62.349998474121094,6310100,0,0
2022-09-01,62.439998626708984,63.90999984741211,62.060001373291016,63.84000015258789,4530800,0,0
2022-09-02,64.18000030517578,64.56999969482422,63.130001068115234,63.52000045776367,4055300,0,0
2022-09-06,63.529998779296875,63.86000061035156,62.209999084472656,62.88999938964844,4359200,0,0
2022-09-07,62.849998474121094,65.97000122070312,62.79999923706055,65.83999633789062,4732800,0,0
2022-09-08,65.0199966430664,66.5,64.66999816894531,66.47000122070312,4956800,0,0
2022-09-09,66.25,66.98999786376953,66.12000274658203,66.62000274658203,4376300,0,0
2022-09-12,66.98999786376953,67.80000305175781,66.48999786376953,66.9800033569336,3635000,0,0
